DATE,Tasas_Fondos_Federales,Indice_Precios_Vivienda,Inflacion_CPI,Tasa_Hip_30Años
2015-01-01,0.11,166.233,234.747,3.66
2015-02-01,0.11,166.612,235.342,3.8
2015-03-01,0.11,168.071,235.976,3.69
2015-04-01,0.12,169.957,236.222,3.68
2015-05-01,0.12,171.838,237.001,3.87
2015-06-01,0.13,173.43599999999995,237.657,4.02
2015-07-01,0.13,174.479,238.034,3.98
2015-08-01,0.14,174.918,238.033,3.84
2015-09-01,0.14,175.023,237.498,3.86
2015-10-01,0.12,175.027,237.733,3.76
2015-11-01,0.12,175.116,238.017,3.95
2015-12-01,0.24,175.08900000000003,237.761,4.01
2016-01-01,0.34,175.013,237.652,3.79
2016-02-01,0.38,175.261,237.336,3.62
2016-03-01,0.36,176.584,238.08,3.71
2016-04-01,0.37,178.48,238.992,3.66
2016-05-01,0.37,180.329,239.557,3.64
2016-06-01,0.38,181.901,240.222,3.48
2016-07-01,0.39,183.003,240.101,3.48
2016-08-01,0.4,183.641,240.545,3.43
2016-09-01,0.4,183.928,241.176,3.42
2016-10-01,0.4,183.997,241.741,3.47
2016-11-01,0.41,184.206,242.026,4.03
2016-12-01,0.54,184.379,242.637,4.32
2017-01-01,0.65,184.633,243.618,4.19
2017-02-01,0.66,185.001,244.006,4.16
2017-03-01,0.79,186.51,243.892,4.14
2017-04-01,0.9,188.524,244.193,4.03
2017-05-01,0.91,190.519,244.004,3.95
2017-06-01,1.04,192.243,244.163,3.88
2017-07-01,1.15,193.487,244.243,3.92
2017-08-01,1.16,194.32,245.183,3.82
2017-09-01,1.15,194.79,246.435,3.83
2017-10-01,1.15,195.055,246.626,3.94
2017-11-01,1.16,195.419,247.284,3.9
2017-12-01,1.3,195.816,247.805,3.99
2018-01-01,1.41,196.088,248.859,4.15
2018-02-01,1.42,196.879,249.529,4.4
2018-03-01,1.51,198.545,249.577,4.44
2018-04-01,1.69,200.584,250.227,4.58
2018-05-01,1.7,202.42,250.792,4.56
2018-06-01,1.82,204.013,251.018,4.55
2018-07-01,1.91,204.922,251.214,4.54
2018-08-01,1.91,205.301,251.663,4.52
2018-09-01,1.95,205.347,252.182,4.72
2018-10-01,2.19,205.342,252.772,4.86
2018-11-01,2.2,205.079,252.594,4.81
2018-12-01,2.27,204.669,252.767,4.55
2019-01-01,2.4,204.17,252.561,4.46
2019-02-01,2.4,204.395,253.319,4.35
2019-03-01,2.41,205.743,254.277,4.06
2019-04-01,2.42,207.658,255.233,4.2
2019-05-01,2.39,209.321,255.296,3.99
2019-06-01,2.38,210.555,255.213,3.73
2019-07-01,2.4,211.304,255.802,3.75
2019-08-01,2.13,211.662,256.036,3.58
2019-09-01,2.04,211.842,256.43,3.64
2019-10-01,1.83,211.937,257.155,3.78
2019-11-01,1.55,212.078,257.879,3.68
2019-12-01,1.55,212.21,258.63,3.74
2020-01-01,1.55,212.368,259.127,3.51
2020-02-01,1.58,213.187,259.25,3.45
2020-03-01,0.65,215.163,258.076,3.5
2020-04-01,0.05,217.208,256.032,3.23
2020-05-01,0.05,218.456,255.802,3.15
2020-06-01,0.08,219.782,257.042,3.13
2020-07-01,0.09,221.537,258.352,2.99
2020-08-01,0.1,224.016,259.316,2.91
2020-09-01,0.09,226.767,259.997,2.9
2020-10-01,0.09,229.776,260.319,2.81
2020-11-01,0.09,232.279,260.911,2.72
2020-12-01,0.09,234.328,262.045,2.67
2021-01-01,0.09,236.4,262.639,2.73
2021-02-01,0.08,239.18,263.573,2.97
2021-03-01,0.07,244.178,264.847,3.17
2021-04-01,0.07,249.787,266.625,2.98
2021-05-01,0.06,255.412,268.404,2.95
2021-06-01,0.08,261.132,270.71,3.02
2021-07-01,0.1,265.463,271.965,2.8
2021-08-01,0.09,268.733,272.752,2.87
2021-09-01,0.08,271.381,273.942,3.01
2021-10-01,0.08,273.587,276.528,3.14
2021-11-01,0.08,275.954,278.824,3.1
2021-12-01,0.08,278.527,280.806,3.11
2022-01-01,0.08,281.904,282.542,3.55
2022-02-01,0.08,287.123,284.525,3.89
2022-03-01,0.2,294.918,287.467,4.67
2022-04-01,0.33,301.53700000000003,288.582,5.1
2022-05-01,0.77,306.29900000000004,291.299,5.1
2022-06-01,1.21,308.095,295.072,5.7
2022-07-01,1.68,306.932,294.94,5.3
2022-08-01,2.33,303.51,295.162,5.55
2022-09-01,2.56,300.346,296.421,6.7
2022-10-01,3.08,298.565,297.979,7.08
2022-11-01,3.78,296.751,298.708,6.58
2022-12-01,4.1,294.244,298.808,6.42
2023-01-01,4.33,292.73900000000003,300.456,6.13
2023-02-01,4.57,293.536,301.476,6.5
2023-03-01,4.65,297.459,301.643,6.32
2023-04-01,4.83,301.573,302.858,6.43
2023-05-01,5.06,305.439,303.316,6.57
2023-06-01,5.08,308.398,304.099,6.71
2023-07-01,5.12,310.32,304.615,6.81
2023-08-01,5.33,311.683,306.138,7.18
2023-09-01,5.33,312.534,307.374,7.31
2023-10-01,5.33,312.887,307.653,7.79
2023-11-01,5.33,312.123,308.087,7.22
2023-12-01,5.33,310.939,308.735,6.61
2024-01-01,5.33,310.808,309.794,6.69
2024-02-01,5.33,312.73400000000004,311.022,6.94
2024-03-01,5.33,316.91700000000003,312.107,6.79
2024-04-01,5.33,320.847,313.016,7.17
2024-05-01,5.33,323.789,313.14,7.03
2024-06-01,5.33,325.342,313.131,6.86
2024-07-01,5.33,325.664,313.566,6.78
2024-08-01,5.33,325.10900000000004,314.131,6.35
2024-09-01,5.13,324.741,314.851,6.08
2024-10-01,4.83,324.06,315.564,6.72
2024-11-01,4.64,323.773,316.449,6.81
2024-12-01,4.48,323.373,317.603,6.85
2025-01-01,4.33,323.687,319.086,6.95
2025-02-01,4.33,325.143,319.775,6.76
2025-03-01,4.33,327.745,319.615,6.65
2025-04-01,4.33,329.911,320.321,6.81
2025-05-01,4.33,331.446,320.58,6.89
2025-06-01,4.33,331.671,321.5,6.77
2025-07-01,4.33,331.12699999999995,322.132,6.72
2025-08-01,4.33,331.12699999999995,323.364,6.56
2025-09-01,4.22,331.12699999999995,323.364,6.3
2025-10-01,4.22,331.12699999999995,323.364,6.3
